pubmed - networks
year,count
2015,14087
2014,15176
2013,14149
2012,12602
2011,11144
2010,10059
2009,9073
2008,7728
2007,7131
2006,5840
2005,5178
2004,4575
2003,3643
2002,3358
2001,3029
2000,2779
1999,2668
1998,3388
1997,3665
1996,3192
1995,2447
1994,1917
1993,1473
1992,1134
1991,963
1990,667
1989,638
1988,514
1987,459
1986,378
1985,288
1984,261
1983,193
1982,153
1981,141
1980,123
1979,109
1978,88
1977,71
1976,81
1975,76
1974,25
1973,28
1972,22
1971,22
1970,15
1969,17
1968,16
1967,7
1966,12
1965,15
1964,21
1963,20
1962,27
1961,25
1960,17
1959,27
1958,31
1957,18
1956,20
1955,17
1954,24
1953,20
1952,16
1951,10
1950,2
1949,2
1947,6

